,precision,recall,f1-score,support
ang,0.5714285714285714,0.631578947368421,0.6,57.0
exc,0.5,0.5,0.5,36.0
fru,0.4444444444444444,0.4,0.42105263157894735,70.0
hap,0.4166666666666667,0.4411764705882353,0.42857142857142855,34.0
neu,0.6,0.53125,0.56353591160221,96.0
sad,0.6190476190476191,0.7959183673469388,0.6964285714285714,49.0
sur,1.0,0.3333333333333333,0.5,6.0
accuracy,0.5431034482758621,0.5431034482758621,0.5431034482758621,0.5431034482758621
macro avg,0.5930839002267574,0.519036731233847,0.529941220454451,348.0
weighted avg,0.5453521255245394,0.5431034482758621,0.5387056330338134,348.0
