utterance_id,emotion,start_sec,end_sec,source_emotion_file,duration_sec,session,speaker,gender_proxy
Ses01F_impro01_F000,neu,6.2901,8.2357,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,1.9455999999999998,Ses01,Ses01F,F
Ses01F_impro01_F001,neu,10.01,11.3925,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,1.3825000000000003,Ses01,Ses01F,F
Ses01F_impro01_F002,neu,14.8872,18.0175,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,3.1302999999999983,Ses01,Ses01F,F
Ses01F_impro01_F003,xxx,19.29,20.7875,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,1.4975000000000023,Ses01,Ses01F,F
Ses01F_impro01_F004,xxx,21.3257,24.74,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,3.4142999999999972,Ses01,Ses01F,F
Ses01F_impro01_F005,neu,27.46,31.49,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,4.029999999999998,Ses01,Ses01F,F
Ses01F_impro01_F006,fru,38.965,43.59,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,4.625,Ses01,Ses01F,F
Ses01F_impro01_F007,fru,46.58,52.19,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,5.609999999999999,Ses01,Ses01F,F
Ses01F_impro01_F008,fru,56.16,58.8225,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,2.6625000000000014,Ses01,Ses01F,F
Ses01F_impro01_F009,fru,61.87,65.97,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,4.100000000000001,Ses01,Ses01F,F
Ses01F_impro01_F010,xxx,66.42,69.34,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,2.9200000000000017,Ses01,Ses01F,F
Ses01F_impro01_F011,fru,72.45,82.26,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,9.810000000000002,Ses01,Ses01F,F
Ses01F_impro01_F012,ang,85.27,88.02,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,2.75,Ses01,Ses01F,F
Ses01F_impro01_F013,fru,93.67,97.0218,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,3.3517999999999972,Ses01,Ses01F,F
Ses01F_impro01_F014,neu,97.89,102.96,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,5.069999999999993,Ses01,Ses01F,F
Ses01F_impro01_F015,fru,103.97,106.71,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,2.739999999999995,Ses01,Ses01F,F
Ses01F_impro01_M000,fru,7.5712,10.475,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,2.9037999999999995,Ses01,Ses01F,F
Ses01F_impro01_M001,fru,10.9266,14.6649,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,3.738299999999999,Ses01,Ses01F,F
Ses01F_impro01_M002,fru,16.8352,19.7175,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,2.8823000000000008,Ses01,Ses01F,F
Ses01F_impro01_M003,fru,23.47,28.03,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,4.560000000000002,Ses01,Ses01F,F
Ses01F_impro01_M004,fru,28.395,31.2117,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,2.816700000000001,Ses01,Ses01F,F
Ses01F_impro01_M005,fru,31.266,39.3875,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,8.121500000000005,Ses01,Ses01F,F
Ses01F_impro01_M006,fru,41.23,46.98,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,5.75,Ses01,Ses01F,F
Ses01F_impro01_M007,fru,51.4,57.64,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,6.240000000000002,Ses01,Ses01F,F
Ses01F_impro01_M008,fru,58.18,62.59,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,4.410000000000004,Ses01,Ses01F,F
Ses01F_impro01_M009,fru,65.51,73.0,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,7.489999999999995,Ses01,Ses01F,F
Ses01F_impro01_M010,fru,81.59,86.03,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,4.439999999999998,Ses01,Ses01F,F
Ses01F_impro01_M011,ang,87.15,94.39,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,7.239999999999995,Ses01,Ses01F,F
Ses01F_impro01_M012,xxx,95.86,98.68,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,2.8200000000000074,Ses01,Ses01F,F
Ses01F_impro01_M013,ang,101.84,107.87,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro01.txt,6.030000000000001,Ses01,Ses01F,F
Ses01F_impro02_F000,sad,7.2688,16.6,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,9.331200000000003,Ses01,Ses01F,F
Ses01F_impro02_F001,sad,19.85,22.78,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,2.9299999999999997,Ses01,Ses01F,F
Ses01F_impro02_F002,sad,26.5659,32.2895,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,5.723599999999998,Ses01,Ses01F,F
Ses01F_impro02_F003,neu,32.3075,37.96,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,5.652500000000003,Ses01,Ses01F,F
Ses01F_impro02_F004,sad,47.34,53.11,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,5.769999999999996,Ses01,Ses01F,F
Ses01F_impro02_F005,sad,58.75,61.31,/content/drive/MyDrive/Datasets/IEMOCAP_LIGHT/EmoEvaluation/Ses01F_impro02.txt,2.5600000000000023,Ses01,Ses01F,F
